Peça,Quantidade
Despacho de análise pós prazo resposta,471
Ofício apresentar defesa,194
Minuta de tac - simplificado,195
Notificação audiência,265
Despacho de prorrogação de prazo ic,75
Ofício delegacia apuração criminal,99
Despacho arquivamento sem dano,5
Ofício imasul comunicar arquivamento ic,48
Ofício investigado comunicar arquivamento ic,56
Ofício caoma comunicar arquivamento ic,34
Minuta de acp,71
Ofício imasul - ic,160
Minuta de tac - mata atlântica,46
Ofício nugeo,72
Despacho acompanhamento tac,95
Ofício compromissário,84
Ofício apuração criminal,1
Despacho promoção de arquivamento de pa,20
Ofício caoma - cópia car e prada,20
Certidão cumprimento tac,26
Portaria de instauração de ic,179
Minuta de e-mail edital,174
Ofício cartório imóveis,148
Ação de execução de tac (obrigação de fazer),6
Ação de execução de tac (obrigação de pagar),6
Ofício compromissário com multa,8
Ofício vistoria pma - divergência técnica ou fática,12
Ofício daex,49
Ofício imasul - carta consulta status,18
Ofício apresentar vistoria - defesa,47
(5) ofício apresentar defesa (comunicar exclusão polo passivo),1
Devol. com atendimento,1
Despacho arquivamento por acordo tac,24
Ofício vistoria daex,1
(5),1
Despacho arquivamento ic - não houve lesão ao meio ambiente,4
Ofício cartório,1
Oficio apresentar defesa (retirada polo passivo),2
Pedido judicial - perdimento de madeira com tac,7
Ofício vistoria daex-pma-imasul,1
Despacho de declínio de atribuição incra_mpf,5
Ofício compromissário com multa - comprovar cumprimento clásulas tac,1
Notificação audiência ofício delegacia apuração criminal,1
Despacho arquivamento - problema ambiental resolvido,1
Ofício ibama,1
Ofício imasul - ic (reiteração),1
Sem peças - preenchimento do valor total identificado pelo daex em relatório contábil nas peças anteriormente já elaboradas pelo nupam (vide fl. 279),1
Despacho de análise pós prazo resposta (desmembramento),1
Despacho arquivamento ic - duplicidade,2
Termo aditivo - tac,1
Ofício cartório imóveis pa - averbar tac na matrícula,3
Ofício daex - fiscalizar cumprimento tac,1
Acp ambiental,1
